"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""РУСАРСЕНАЛ""";"г. Москва, ул. Василия Петушкова, д. 8 этаж 1; 2 пом. 114; 251"
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОРИМЭКС""";г. Москва, ул. Планетная, д. 11 пом. 6/26 РМ-1
АКЦИОНЕРНОЕ ОБЩЕСТВО «АСОКА»;г. Москва, вн.тер.г. муниципальный округ Хамовники, наб Саввинская, д. 15, этаж 5, помещ. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБАЛСЕРВИС.РУ""";г. Москва, ул. Новый Арбат, д. 15 стр. 1 этаж 3 пом. I ком. 24
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Н ДАЙВЕР""";г. Москва, ул. Уржумская, д. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЭК ГРУПП""";г. Москва, ул. Сущёвский Вал, д. 43
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕЛАРИС""";г. Москва, бульвар Сиреневый, д. 62 к. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛОРОС""";г. Москва, ул. Клары Цеткин, д. 18 к. 9 этаж 2 пом. VIII ком. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЭСТЕТИКА""";г. Москва, вн.тер.г. муниципальный округ Москворечье-Сабурово, ул Котляковская, д. 3, стр. 13, эт. 1, пом/ком I/37
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИДЕВИ""";г. Москва, проезд Автомобильный, д. 10 стр. 25 ком. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСТ РЕАЛ""";г. Москва, ул. Молодогвардейская, д. 10 пом. VII ком. 13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГНЕСС""";г. Москва, проспект Рязанский, д. 10 стр. 2 пом. I ком. 30 офис 69 ПОДВАЛ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОК-СЕРВИС""";г. Москва, вн.тер.г. муниципальный округ Перово, ул Электродная, д. 10, этаж/помещ. 2/V, ком. 23,24
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХИМСТАНДАРТ""";г. Москва, вн.тер.г. муниципальный округ Красносельский, пер Орликов, д. 5, стр. 1А, этаж 1, ком. 178
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЕКС ИНЖИНИРИНГ""";г. Москва, Филимонковское пос., пос. Марьино, бульвар Светлый, д. 13 к. 2 кв. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖПРОМ""";г. Москва, набережная Космодамианская, д. 4/22 к. А ПОДВ. пом. I ком. 20 офис 15
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИРМА ФБ""";г. Москва, проезд Одоевского, д. 3 к. 7 пом. II, офис 91
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЛЕКС КОНТРОЛЗ""";г. Москва, проспект Андропова, д. 22 пом. №I, ком. №31, этаж 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕСОВОГОРСКИЙ МОЛОЧНЫЙ ЗАВОД""";г. Москва, ул. Сокольнический Вал, д. 38 корп. - офис
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПМ-ИНДУСТРИЯ""";г. Москва, ул. Восточная, д. 2 к. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИКНИК""";г. Москва, ул. Академика Миллионщикова, д. 35 к. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОЛОР ИТ СТУДИО""";г. Москва, вн.тер.г. муниципальный округ Гольяново, проезд Черницынский, д. 3, стр. 1, офис 1303
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ЭКАН""";г. Москва, проезд Югорский, д. 2 стр. 1 этаж 1 ком. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФРИСТАЙЛ""";г. Москва, ул. Ленинская Слобода, д. 21 стр. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МФТ""";г. Москва, ул. Новая Башиловка, д. 3 этаж / пом. / ком. 1/I/20
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЛ-ПРИНТ""";г. Москва, пер. Большой Каретный, д. 22 стр. 1 этаж 2 ком. 17
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИР ДЕЗИНФЕКЦИИ""";г. Москва, ул. Стромынка, д. 19 к. 2 офис Э 1 П IVБ К 23 РМ 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕМИЗ""";г. Москва, ул. Бойцовая, д. 27 этаж 2 пом. 28
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАРИОПРО""";г. Москва, вн.тер.г. муниципальный округ Головинский, ул Онежская, д. 24, стр. 1, этаж 3,ПОМЕЩ. I,КОМ. 28В
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ БУДУЩЕГО""";г. Москва, проезд Петровско-Разумовский, д. 29 стр. 4 этаж / пом. / ком. 2/I/11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕДР""";г. Москва, ул. Авиамоторная, д. 30 пом. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЮЗ-ЭНЕРГОРЕМОНТ""";г. Москва, вн.тер.г. муниципальный округ Нижегородский, ул Нижегородская, д. 56А, помещ. XIV, ком. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИКОГЛАСС РЯЗАНЬ""";Рязанская обл., г. Рязань, р-н Восточный Промузел, д. 21 к. 58
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИАДА-Х""";г. Москва, ул. Крупской, д. 19 кв. 41
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""ЭНЕРГОМОДУЛЬ""";г. Москва, вн.тер.г. муниципальный округ Лефортово, ул Авиамоторная, д. 55, к. 31, эт./помещ. 1/116
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХВАЛЫНСКИЙ ТЕКСТИЛЬ""";г. Москва, ул. Зарайская, д. 31 офис
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРСИС""";г. Москва, ул. Народного Ополчения, д. 5 к. 2
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОМЭКС""";г. Москва, ул. Суворовская, д. 8 стр. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИКОЛОР""";г. Москва, ул. Рабочая, д. 89 стр. 1 блок 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЬЕФ""";г. Москва, проезд Огородный, д. 20А стр. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТ-НАЦИОНАЛЬ""";г. Москва, ул. Ивантеевская, д. 3 корп. КОР. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННАЯ ФИРМА ""ИНСАМ""";г. Москва, ул. Маршала Новикова, д. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХИМИЯ ЦВЕТА""";г. Москва, ул. Войкова, д. 6 стр. 3 ком. 1
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ТОЧНОГО МАШИНОСТРОЕНИЯ""";г. Москва, г. Зеленоград, проспект Панфиловский, д. 10
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВНИИАВТОГЕНМАШ""";Тверская обл, г.о. город Кимры, г Кимры, ул 50 лет ВЛКСМ, д. 11, к. 2, ком. 22
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВВА РУС""";г. Москва, ул. Крылатские Холмы, д. 30 к. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАКСНАВИ""";г. Москва, вн.тер.г. муниципальный округ Ново-Переделкино, ш. Боровское, д. 18, к. 3, этаж/помещ. 1/I, ком./офис 5/53
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИРЪ""";г. Москва, вн.тер.г. муниципальный округ Можайский, ш Можайское, д. 29, помещ. VI, ком. 28-А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРОСТ""";г. Москва, вн.тер.г. муниципальный округ Рязанский, пр-кт Рязанский, д. 16, стр. 4, этаж/ком. 5/1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРСА""";г. Москва, вн.тер.г. муниципальный округ Тверской, ул Новослободская, д. 20, помещ. I, ком. 15, ОФИС М-06
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРОЛЕНТОПИЛ""";г. Москва, вн.тер.г. муниципальный округ Рязанский, ул Зарайская, д. 21, этаж/пом 2/209, офис 0408
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СК ЭЛЕМЕНТ ПЛЮС""";г. Москва, вн.тер.г. муниципальный округ Мещанский, пер Напрудный, д. 8, стр. 1, помещ. II, КОМ. 12, ОФ.19 (ЭТАЖ 1)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРТИ ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Филевский парк, пр-д Багратионовский, д. 12А, этаж 1, помещ. А107
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАН ДЕФ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Зоологическая, д. 8, этаж 1, пом. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИК""";г. Москва, вн.тер.г. муниципальный округ Филевский парк, ул Барклая, д. 6, стр. 5, этаж/ком. 4/23К1, офис 21
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИСТОПРАВ""";г. Москва, вн.тер.г. муниципальный округ Южное Бутово, проезд Чечёрский, д. 24, пом/ком/оф I/3/36
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОПАРК""";г. Москва, вн.тер.г. муниципальный округ Пресненский, проезд Шмитовский, д. 39, к. 1, этаж 1, помещ. IA ОФИС 1-2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РТ-НАША МАРКА""";г. Москва, вн.тер.г. муниципальный округ Гольяново, ул Монтажная, д. 9, стр. 1, эт./помещ. 3/IV, ком./офис 11/А6Ш
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЦЕН""";г. Москва, вн.тер.г. муниципальный округ Пресненский, пер Большой Гнездниковский, д. 3, помещ. IV, ком./офис 7/7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИВЕРСАЛПОДЪЕМ""";г. Москва, вн.тер.г. муниципальный округ Можайский, ул Горбунова, д. 2, стр. 3, этаж 2, ПОМ.II, ком. 56
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОРСМАРТ""";г. Москва, вн.тер.г. муниципальный округ Басманный, ул Доброслободская, д. 7/1, стр. 3, этаж 3/ОФ 94, помещ. I/КОМН.2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАЛ-КАТ""";г. Москва, вн.тер.г. муниципальный округ Басманный, ул Мясницкая, д. 46, стр. 1, помещ. I, ком. 20 (ЭТАЖ 3)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРИНОРГАНИКС""";г. Москва, вн.тер.г. муниципальный округ Сокол, ш Волоколамское, д. 1, стр. 1, этаж 8 ОФ 57, помещ. XI КОМ 54
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФИМАФ""";г. Москва, вн.тер.г. муниципальный округ Аэропорт, ул Часовая, д. 28, к. 4, этаж 3 ОФИС 42Г, ком. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЖАЛЮЗИОНЛАЙН""";г. Москва, вн.тер.г. муниципальный округ Нижегородский, ул Басовская, д. 16, стр. 1, этаж 5, помещ. VII, КОМ.27
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСС-ТРЕЙД""";г. Москва, вн.тер.г. муниципальный округ Соколиная гора, ул Малая Семёновская, д. 30, стр. 1, ком. 47
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЗ КРОНА""";г. Москва, вн.тер.г. муниципальный округ Пресненский, проезд Мукомольный, д. 2, помещ. LXXI, офис 2,ЦОКОЛЬНЫЙ ЭТАЖ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Р.Б ЛАБ"".";г. Москва, вн.тер.г. муниципальный округ Даниловский, наб Павелецкая, д. 2, стр. 1, этаж 2, ПОМ. 229 (ОФИС В)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕПОСТЬ-БЕТОН""";г. Москва, вн.тер.г. поселение Воскресенское, п Воскресенское, д. 59, этаж 2, помещ. 38
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПРАВЛЕНИЕ КОМПЛЕКСНЫХ ПОСТАВОК""";г. Москва, вн.тер.г. муниципальный округ Арбат, пер Шубинский, д. 6, стр. 1, помещ. III, ком. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРВАРД""";г. Москва, вн.тер.г. муниципальный округ Покровское-Стрешнево, пр-д Полесский, д. 16, стр. 1, эт./помещ. 2/I, ком./офис 37/В3Г
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛЮС УЛЬТРА МАШИНАРИ""";г. Москва, вн.тер.г. муниципальный округ Проспект Вернадского, ул Удальцова, д. 71, к. 1, кв. 7
"ОБЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФЭМИЛИ РИД""";г. Москва, вн.тер.г. муниципальный округ Южное Тушино, проезд Строительный, д. 7А, к. 11А, этаж/помещ. ТЕХНИЧЕСКИЙ/I, ком./офис 3/5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕГА""";г. Москва, вн.тер.г. муниципальный округ Южное Бутово, ул Адмирала Руднева, д. 20, этаж, помещение 5, 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННО-МОНТАЖНАЯ ОРГАНИЗАЦИЯ ""СПЕЦКОНСТРУКЦИЯ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Малая Грузинская, д. 28, этаж 14 ПОМЕЩ. V, ком. 13 ОФИС 25-9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕТМИПРИНТ""";г. Москва, вн.тер.г. муниципальный округ Хорошево-Мневники, ул Мнёвники, д. 13, к. 1, кв. 101
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИЮБОКС РУС""";г. Москва, вн.тер.г. муниципальный округ Филевский парк, ул Сеславинская, д. 12, к. 2, кв. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРАЙМКЛАУД""";г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, наб Нагатинская, д. 10, к. 3, этаж 1, пом. 11, ОФ. 12В
